Designator,Comment,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,121.1,-65.0625,-90,top
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.8,-67.4375,90,top
C3,10n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,122.9,-68.2325,-90,top
C4,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,177.0625,-85.9,180,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,182.8125,-85.9,180,top
C6,10n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,171.8125,-90.95,0,top
C7,0.47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,163.6125,-93.75,0,top
C8,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,194.1,-121.1,90,top
C9,4.7u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,160.5375,-103.9,0,top
C10,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.15,-92.25,180,top
C11,4.7u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,166.9375,-103.9,0,top
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.4375,-67.8,0,top
C13,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.7625,-111.15,0,top
C14,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.8375,-93.3,0,top
C15,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.1375,-80.5,0,top
C16,4.7u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,147.75,-104.1,0,top
C17,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,187.6375,-129.5,180,top
C18,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,196.8,-110.0625,90,top
C19,4.7u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,176.2,-74.1625,90,top
C20,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,137.1375,-111.15,0,top
C21,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,138.0375,-93,0,top
C22,4.7u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,154.4,-104,0,top
C23,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,138.3375,-79.2,0,top
C24,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.7,-88.3125,90,top
C25,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,127.7375,-78.3,0,top
C26,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.6,-83.2625,90,top
C27,10n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.8625,-62.5,180,top
C28,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.6,-118.2,90,top
C29,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134,-97.8675,90,top
D1,YELLOW,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,125.5,-71.375,-90,top
D2,RED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.675,-94.9,0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.975,-104.4,180,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.275,-125,0,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,193.1,-55.175,90,top
IC1,MSPM0G3519SPMR,QFP50P1200X1200X160-64N,154.65,-84.762,0,top
IC2,TPS73533DRVT,SON65P200X200X80-7N,125.35,-67.65,0,top
IC4,TPS2121RUXR,Texas_VQFN-HR-12_2x2.5mm_P0.5mm,144.05,-68.05,0,top
R2,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.6,-87.5,-90,top
R3,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.1,-98.25,0,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.7,-70.9,90,top
R5,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,166.7125,-84.7,0,top
R6,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,152.1,-96.15,180,top
R7,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.9475,-92.15,0,top
R8,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172,-99.1,0,top
R9,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.7,-94.75,0,top
R10,2.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.95,-114.7,0,top
R11,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.85,-108.9,0,top
R15,15m,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,129.5,-97.8,90,top
R16,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,188.75,-61.7,0,top
R17,50,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.7,-119.6,0,top
R22,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,144.55,-99.8,180,top
R23,50,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.7025,-116.9,180,top
R24,2.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.35,-114.7,0,top
R25,2.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.55,-114.5,0,top
R26,2.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.85,-114.4,0,top
R27,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.35,-108.8,0,top
R28,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.55,-108.8,0,top
R29,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.95,-109,0,top
R30,50,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.1025,-99.4,0,top
R31,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,138.7,-103.6,90,top
R32,50,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.1025,-96.3,180,top
R36,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.7,-122.9,180,top
R37,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,135.25,-124.45,90,top
R38,15m,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,128.2,-118.3,90,top
R39,51k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.9,-68.05,-90,top
R40,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,141.75,-72.7,0,top
R41,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,135.8,-67.85,90,top
R42,24k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.1,-68.6,90,top
R43,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.525,-68.05,-90,top
U1,INA229AQDGSRQ1,VSSOP-10_3x3mm_P0.5mm,137.9,-97,180,top
U2,INA229AQDGSRQ1,VSSOP-10_3x3mm_P0.5mm,136.3,-117.4,180,top
VR1,MCP41HV51-103E_ST,TSSOP-14_4.4x5mm_P0.65mm,132.5,-83.95,180,top
